"Date","Price","Open","High","Low","Change %"
"2021-11-05 11:20:00","1.15504","1.155035","1.155065","1.15501","226"
"2021-11-05 11:21:00","1.155","1.15505","1.15506","1.154995","212"
"2021-11-05 11:22:00","1.155035","1.15501","1.15507","1.15501","184"
"2021-11-05 11:23:00","1.15503","1.155035","1.155085","1.155025","214"
"2021-11-05 11:24:00","1.15503","1.15504","1.15506","1.15499","240"
"2021-11-05 11:25:00","1.155045","1.155035","1.15509","1.15501","229"
"2021-11-05 11:26:00","1.15515","1.15506","1.15518","1.15505","237"
"2021-11-05 11:27:00","1.155145","1.155145","1.15518","1.155125","241"
"2021-11-05 11:28:00","1.155145","1.155145","1.15517","1.155115","215"
"2021-11-05 11:29:00","1.15515","1.155155","1.155165","1.15506","240"
"2021-11-05 11:30:00","1.1551","1.15513","1.155155","1.155085","219"
"2021-11-05 11:31:00","1.155135","1.155105","1.155165","1.15509","209"
"2021-11-05 11:32:00","1.15515","1.15513","1.15519","1.15511","250"
"2021-11-05 11:33:00","1.15518","1.155155","1.1552","1.155115","212"
"2021-11-05 11:34:00","1.15512","1.15517","1.155205","1.15512","191"
"2021-11-05 11:35:00","1.155135","1.15513","1.155145","1.155085","214"
"2021-11-05 11:36:00","1.15516","1.15514","1.15517","1.155125","246"
"2021-11-05 11:37:00","1.155205","1.155165","1.15523","1.15514","241"
"2021-11-05 11:38:00","1.155185","1.1552","1.15523","1.155175","231"
"2021-11-05 11:39:00","1.15524","1.15521","1.15526","1.15519","248"
"2021-11-05 11:40:00","1.155245","1.15524","1.15527","1.1552","229"
"2021-11-05 11:41:00","1.15524","1.15525","1.15527","1.15522","202"
"2021-11-05 11:42:00","1.155235","1.155235","1.15527","1.155215","209"
"2021-11-05 11:43:00","1.15527","1.15524","1.15528","1.15518","239"
"2021-11-05 11:44:00","1.15527","1.15527","1.15528","1.15522","197"
"2021-11-05 11:45:00","1.155285","1.155265","1.155305","1.155235","213"
"2021-11-05 11:46:00","1.155285","1.155295","1.155315","1.15526","209"
"2021-11-05 11:47:00","1.155285","1.15528","1.15532","1.155265","203"
"2021-11-05 11:48:00","1.155295","1.15528","1.155315","1.155245","215"
"2021-11-05 11:49:00","1.155385","1.1553","1.155395","1.155295","241"
"2021-11-05 11:50:00","1.15536","1.155375","1.155385","1.15534","215"
"2021-11-05 11:51:00","1.155355","1.15536","1.15538","1.155335","218"
"2021-11-05 11:52:00","1.155355","1.155345","1.15538","1.15533","225"
"2021-11-05 11:53:00","1.155365","1.155375","1.15538","1.155325","221"
"2021-11-05 11:54:00","1.15536","1.15537","1.15538","1.15533","210"
"2021-11-05 11:55:00","1.155445","1.15535","1.15546","1.15535","246"
"2021-11-05 11:56:00","1.15551","1.15545","1.155535","1.155425","265"
"2021-11-05 11:57:00","1.15561","1.155505","1.155615","1.15549","237"
"2021-11-05 11:58:00","1.155655","1.15561","1.15566","1.155565","262"
"2021-11-05 11:59:00","1.155755","1.155655","1.155775","1.15562","280"
"2021-11-05 12:00:00","1.155615","1.155765","1.155765","1.155565","255"
"2021-11-05 12:01:00","1.15564","1.15561","1.15565","1.155575","205"
"2021-11-05 12:02:00","1.15565","1.15564","1.155685","1.15559","238"
"2021-11-05 12:03:00","1.15561","1.15565","1.15565","1.155575","202"
"2021-11-05 12:04:00","1.155595","1.15562","1.15562","1.155555","220"
"2021-11-05 12:05:00","1.15563","1.155595","1.15567","1.15558","219"
"2021-11-05 12:06:00","1.155605","1.155615","1.15563","1.15558","215"
"2021-11-05 12:07:00","1.15556","1.1556","1.155615","1.15556","192"
"2021-11-05 12:08:00","1.15552","1.15557","1.155575","1.155515","209"
"2021-11-05 12:09:00","1.155535","1.155535","1.15556","1.15551","174"
"2021-11-05 12:10:00","1.155545","1.155515","1.15558","1.155485","235"
"2021-11-05 12:11:00","1.15561","1.15555","1.155665","1.155535","247"
"2021-11-05 12:12:00","1.15566","1.1556","1.155685","1.1556","208"
"2021-11-05 12:13:00","1.15566","1.15567","1.155715","1.155635","235"
"2021-11-05 12:14:00","1.155625","1.155665","1.15568","1.15559","237"
"2021-11-05 12:15:00","1.155575","1.15563","1.15565","1.15554","226"
"2021-11-05 12:16:00","1.155575","1.155585","1.155615","1.15554","233"
"2021-11-05 12:17:00","1.15554","1.155575","1.155585","1.155525","253"
"2021-11-05 12:18:00","1.15553","1.155535","1.15557","1.15551","228"
"2021-11-05 12:19:00","1.15557","1.15553","1.155585","1.155505","231"
"2021-11-05 12:20:00","1.155595","1.155565","1.15564","1.15555","233"
"2021-11-05 12:21:00","1.15551","1.155595","1.15562","1.15551","231"
"2021-11-05 12:22:00","1.1555","1.155515","1.15557","1.15546","228"
"2021-11-05 12:23:00","1.155485","1.15548","1.15552","1.155475","207"
"2021-11-05 12:24:00","1.15547","1.155485","1.155515","1.155455","193"
"2021-11-05 12:25:00","1.155385","1.15547","1.15549","1.15537","244"
"2021-11-05 12:26:00","1.155425","1.155375","1.15544","1.155365","219"
"2021-11-05 12:27:00","1.155375","1.155415","1.155435","1.15536","187"
"2021-11-05 12:28:00","1.15546","1.155375","1.15548","1.15536","210"
"2021-11-05 12:29:00","1.15552","1.15545","1.15552","1.15543","190"
"2021-11-05 12:30:00","1.155495","1.15553","1.15553","1.15547","187"
"2021-11-05 12:31:00","1.15548","1.15549","1.15557","1.155475","174"
"2021-11-05 12:32:00","1.15551","1.155495","1.155525","1.155465","184"
"2021-11-05 12:33:00","1.15553","1.155505","1.155565","1.15548","192"
"2021-11-05 12:34:00","1.15549","1.155525","1.155545","1.155475","206"
"2021-11-05 12:35:00","1.155475","1.15549","1.15561","1.155475","198"
"2021-11-05 12:36:00","1.15549","1.155495","1.15553","1.155475","219"
"2021-11-05 12:37:00","1.155485","1.15549","1.15552","1.155475","223"
"2021-11-05 12:38:00","1.15553","1.155505","1.15556","1.155485","230"
"2021-11-05 12:39:00","1.15551","1.155535","1.15557","1.15548","181"
"2021-11-05 12:40:00","1.155525","1.155505","1.15556","1.15548","183"
"2021-11-05 12:41:00","1.15551","1.155525","1.155565","1.15547","220"
"2021-11-05 12:42:00","1.15555","1.155505","1.15558","1.1555","209"
"2021-11-05 12:43:00","1.15559","1.155555","1.15561","1.15553","189"
"2021-11-05 12:44:00","1.155585","1.155585","1.155615","1.15555","205"
"2021-11-05 12:45:00","1.15561","1.15558","1.155635","1.155565","191"
"2021-11-05 12:46:00","1.155605","1.155605","1.155635","1.155575","165"
"2021-11-05 12:47:00","1.155595","1.155605","1.155625","1.155545","217"
"2021-11-05 12:48:00","1.15556","1.155605","1.155605","1.155515","175"
"2021-11-05 12:49:00","1.15557","1.155545","1.155575","1.15552","191"
