"Date","Price","Open","High","Low","Change %"
"2021-11-05 02:21:00","1.15546","1.155395","1.15546","1.155365","242"
"2021-11-05 02:22:00","1.155505","1.155455","1.155555","1.15541","250"
"2021-11-05 02:23:00","1.155545","1.15552","1.155565","1.155435","261"
"2021-11-05 02:24:00","1.15544","1.15555","1.155555","1.155415","232"
"2021-11-05 02:25:00","1.15545","1.155445","1.15547","1.155405","259"
"2021-11-05 02:26:00","1.155395","1.155455","1.155465","1.15538","211"
"2021-11-05 02:27:00","1.15548","1.15541","1.15548","1.15539","235"
"2021-11-05 02:28:00","1.15552","1.15548","1.15554","1.15547","250"
"2021-11-05 02:29:00","1.155535","1.155515","1.15556","1.155475","253"
"2021-11-05 02:30:00","1.15548","1.155535","1.15556","1.15546","257"
"2021-11-05 02:31:00","1.15549","1.155475","1.155515","1.15546","225"
"2021-11-05 02:32:00","1.15543","1.155495","1.155525","1.15539","257"
"2021-11-05 02:33:00","1.15544","1.15543","1.155485","1.1554","240"
"2021-11-05 02:34:00","1.15547","1.15545","1.155495","1.155405","219"
"2021-11-05 02:35:00","1.15546","1.15546","1.1555","1.15543","213"
"2021-11-05 02:36:00","1.15556","1.155455","1.15557","1.155425","228"
"2021-11-05 02:37:00","1.15557","1.15555","1.155625","1.155525","258"
"2021-11-05 02:38:00","1.155495","1.15556","1.15561","1.155485","269"
"2021-11-05 02:39:00","1.15552","1.155495","1.155555","1.155485","256"
"2021-11-05 02:40:00","1.15556","1.15553","1.155575","1.15548","230"
"2021-11-05 02:41:00","1.15554","1.15555","1.1556","1.15551","281"
"2021-11-05 02:42:00","1.15559","1.155535","1.155625","1.155535","233"
"2021-11-05 02:43:00","1.155615","1.15559","1.15562","1.155555","216"
"2021-11-05 02:44:00","1.15561","1.155615","1.155675","1.1556","252"
"2021-11-05 02:45:00","1.15561","1.15562","1.15567","1.15558","225"
"2021-11-05 02:46:00","1.15552","1.15561","1.155615","1.15551","230"
"2021-11-05 02:47:00","1.155575","1.155515","1.15559","1.155495","242"
"2021-11-05 02:48:00","1.15556","1.15559","1.15565","1.15555","231"
"2021-11-05 02:49:00","1.155575","1.15557","1.155595","1.15552","222"
"2021-11-05 02:50:00","1.155555","1.155565","1.155615","1.15551","235"
"2021-11-05 02:51:00","1.155595","1.155555","1.155615","1.15554","248"
"2021-11-05 02:52:00","1.15554","1.15559","1.15562","1.155525","237"
"2021-11-05 02:53:00","1.155535","1.15554","1.15557","1.15548","241"
"2021-11-05 02:54:00","1.15559","1.155535","1.155625","1.155525","221"
"2021-11-05 02:55:00","1.15554","1.155585","1.155585","1.15551","240"
"2021-11-05 02:56:00","1.155555","1.15554","1.155575","1.15547","239"
"2021-11-05 02:57:00","1.15553","1.155545","1.155595","1.1555","247"
"2021-11-05 02:58:00","1.15554","1.15554","1.155585","1.155485","261"
"2021-11-05 02:59:00","1.155745","1.15555","1.155745","1.155535","249"
"2021-11-05 03:00:00","1.15572","1.155745","1.155805","1.155665","250"
"2021-11-05 03:01:00","1.15571","1.15572","1.155795","1.15568","219"
"2021-11-05 03:02:00","1.155695","1.15572","1.15574","1.155675","247"
"2021-11-05 03:03:00","1.15564","1.155705","1.155705","1.15562","239"
"2021-11-05 03:04:00","1.155575","1.15564","1.155665","1.155515","223"
"2021-11-05 03:05:00","1.155585","1.15557","1.15563","1.155555","223"
"2021-11-05 03:06:00","1.155575","1.15559","1.155615","1.155545","226"
"2021-11-05 03:07:00","1.155565","1.15557","1.1556","1.15555","209"
"2021-11-05 03:08:00","1.155555","1.155575","1.15559","1.155545","216"
"2021-11-05 03:09:00","1.15553","1.155555","1.1556","1.155515","243"
"2021-11-05 03:10:00","1.15556","1.15553","1.15561","1.155525","246"
"2021-11-05 03:11:00","1.155525","1.155545","1.155585","1.1555","228"
"2021-11-05 03:12:00","1.155535","1.155515","1.15556","1.15549","206"
"2021-11-05 03:13:00","1.155565","1.15554","1.155575","1.155515","222"
"2021-11-05 03:14:00","1.15559","1.155555","1.155645","1.15552","248"
"2021-11-05 03:15:00","1.15553","1.15558","1.155635","1.155505","213"
"2021-11-05 03:16:00","1.15551","1.15552","1.15555","1.15551","208"
"2021-11-05 03:17:00","1.15552","1.1555","1.15556","1.1555","194"
"2021-11-05 03:18:00","1.155505","1.15552","1.15553","1.15549","201"
"2021-11-05 03:19:00","1.155585","1.155505","1.1556","1.155485","205"
"2021-11-05 03:20:00","1.155595","1.155585","1.15564","1.15556","265"
"2021-11-05 03:21:00","1.15565","1.155605","1.155665","1.155575","220"
"2021-11-05 03:22:00","1.15565","1.155645","1.155675","1.15561","228"
"2021-11-05 03:23:00","1.15565","1.155645","1.155675","1.15561","193"
"2021-11-05 03:24:00","1.155645","1.155645","1.15567","1.155595","223"
"2021-11-05 03:25:00","1.15559","1.155645","1.155665","1.15559","235"
"2021-11-05 03:26:00","1.155555","1.15559","1.1556","1.155535","204"
"2021-11-05 03:27:00","1.15558","1.15557","1.1556","1.155535","208"
"2021-11-05 03:28:00","1.15558","1.15559","1.1556","1.15555","170"
"2021-11-05 03:29:00","1.155595","1.155585","1.155605","1.155555","214"
"2021-11-05 03:30:00","1.155505","1.15559","1.15559","1.15546","191"
"2021-11-05 03:31:00","1.15548","1.155505","1.15554","1.155455","193"
"2021-11-05 03:32:00","1.155485","1.15549","1.155505","1.15546","180"
"2021-11-05 03:33:00","1.155475","1.15549","1.155515","1.155465","207"
"2021-11-05 03:34:00","1.155525","1.15549","1.155555","1.15547","181"
"2021-11-05 03:35:00","1.15554","1.155515","1.155575","1.155515","188"
"2021-11-05 03:36:00","1.155395","1.15554","1.155565","1.15536","237"
"2021-11-05 03:37:00","1.15545","1.15539","1.155455","1.155365","229"
"2021-11-05 03:38:00","1.155455","1.15544","1.15549","1.155425","187"
"2021-11-05 03:39:00","1.155435","1.15544","1.155515","1.15542","237"
"2021-11-05 03:40:00","1.155365","1.15542","1.15546","1.155325","222"
"2021-11-05 03:41:00","1.15537","1.15536","1.15539","1.155325","192"
"2021-11-05 03:42:00","1.15531","1.15536","1.15537","1.15528","225"
"2021-11-05 03:43:00","1.15538","1.155305","1.15539","1.155305","216"
"2021-11-05 03:44:00","1.15537","1.15539","1.155405","1.155295","247"
"2021-11-05 03:45:00","1.155415","1.15537","1.155465","1.155365","279"
"2021-11-05 03:46:00","1.155365","1.155415","1.155455","1.155345","190"
"2021-11-05 03:47:00","1.15538","1.155365","1.15543","1.15535","222"
"2021-11-05 03:48:00","1.1553","1.155385","1.155415","1.15528","221"
"2021-11-05 03:49:00","1.155285","1.155305","1.155355","1.15519","241"
"2021-11-05 03:50:00","1.15546","1.155285","1.155485","1.155285","263"
"2021-11-05 03:51:00","1.15531","1.15547","1.15548","1.155305","210"
"2021-11-05 03:52:00","1.15531","1.155315","1.15535","1.155295","215"
"2021-11-05 03:53:00","1.155365","1.1553","1.155415","1.1553","201"
"2021-11-05 03:54:00","1.15542","1.155385","1.155455","1.15536","215"
"2021-11-05 03:55:00","1.15548","1.155425","1.15555","1.15542","219"
"2021-11-05 03:56:00","1.15546","1.155475","1.15553","1.15543","228"
"2021-11-05 03:57:00","1.1555","1.15546","1.155525","1.15544","203"
"2021-11-05 03:58:00","1.155445","1.1555","1.155515","1.15544","204"
"2021-11-05 03:59:00","1.155415","1.15546","1.155485","1.155395","185"
"2021-11-05 04:00:00","1.155385","1.155415","1.155415","1.155355","63"
"2021-11-05 04:01:00","1.155245","1.155365","1.155415","1.155235","67"
"2021-11-05 04:02:00","1.155245","1.155245","1.155255","1.155225","47"
"2021-11-05 04:03:00","1.155245","1.155245","1.155255","1.155225","51"
"2021-11-05 04:04:00","1.155265","1.155245","1.155285","1.155225","44"
"2021-11-05 04:05:00","1.155245","1.155265","1.155305","1.155225","46"
